Date,Month,Value
1,1 01 2022,100404
2,1 02 2022,94407
3,1 03 2022,119574
4,1 04 2022,120940
5,1 05 2022,120295
6,1 06 2022,138765
7,1 07 2022,140521
8,1 08 2022,131731
9,1 09 2022,92868
10,1 10 2022,92692
11,1 11 2022,99259
12,1 12 2022,140756
13,1 01 2023,114464
14,1 02 2023,93503
15,1 03 2023,129894
16,1 04 2023,125742
17,1 05 2023,108707
18,1 06 2023,154790
19,1 07 2023,172457
20,1 08 2023,133273
21,1 09 2023,105687
22,1 10 2023,95666
23,1 11 2023,78914
24,1 12 2023,95129
25,1 01 2024,125545
26,1 02 2024,80594
27,1 03 2024,123037
28,1 04 2024,110557
29,1 05 2024,157018
30,1 06 2024,154708
31,1 07 2024,185532
32,1 08 2024,142796
33,1 09 2024,88427
34,1 10 2024,83142
35,1 11 2024,83934
36,1 12 2024,130333
